,Unnamed: 0,Name,m1,m1_uerr,m1_lerr,m2,m2_uerr,m2_lerr,f,m_T,m_T_err,q,q_err,type,reference,catalog,m1_err_lower,m1_err_upper,m2_err_lower,m2_err_upper,ecc
119,119,J1723-2837,1.22,0.26,0.26,0.36,,,,,,,,RB,\cite{Strader_J1723},You,0.96,1.48,,,
120,120,J1816+4510,,,,,,,0.0017607,,,9.54,0.21,RB,\cite{Kaplan2013},Fan,,,,,
121,121,1FGLJ1417.7-4407,1.62,0.43,0.17,,,,,,,,,RB,\cite{Swihart2018},Fan,1.45,2.05,,,
122,122,3FGLJ0212.1+5320,1.85,0.32,0.26,,,,,,,,,RB,\cite{Shahbaz2017},Fan,1.59,2.17,,,
123,123,J1628-3205,,,,,,,0.00171,,,8.33,0.21,RB,\cite{Strader2019},Fan,,,,,
124,124,3FGLJ2039.6-5618,2.04,0.37,0.25,,,,,,,,,RB,\cite{Strader2019},Fan,1.79,2.41,,,
125,125,J1431-4715,,,,,,,0.000885,,,10.42,0.11,RB,\cite{Strader2019},Fan,,,,,
126,126,J2215+5135,2.28,0.1,0.1,0.25,,,,,,,,RB,\cite{Kandel_J2215},You,2.18,2.38,,,
127,127,J2339-0533,1.64,0.27,0.27,0.35,,,,,,,,RB,\cite{Strader_J1723},You,1.37,1.91,,,
128,128,J1622-0315,,,,,,,0.000436,,,14.29,0.2,RB,\cite{Strader2019},Fan,,,,,
129,129,J2039-5617,1.3,0.1,0.1,0.2,,,,,,,,RB,\cite{Clark_J2039},You,1.2,1.4,,,
130,130,J0553-1349,1.33,0.05,0.05,0.98,0.06,0.06,,,,,,Gaia,,El-Badry,1.28,1.38,0.92,1.04,0.3879
131,131,J2057-4742,1.31,0.04,0.04,1.048,0.031,0.031,,,,,,Gaia,,El-Badry,1.27,1.35,1.017,1.079,0.3095
132,132,J1553-6846,1.323,0.032,0.032,1.04,0.05,0.05,,,,,,Gaia,,El-Badry,1.291,1.355,0.99,1.09,0.5314
133,133,J2102+3703,1.44,0.04,0.04,1.03,0.03,0.03,,,,,,Gaia,,El-Badry,1.4,1.48,1,1.06,0.448
134,134,J0742-4749,1.28,0.04,0.04,0.9,0.05,0.05,,,,,,Gaia,,El-Badry,1.24,1.32,0.85,0.95,0.168
135,135,J0152-2049,1.291,0.024,0.024,0.782,0.03,0.03,,,,,,Gaia,,El-Badry,1.267,1.315,0.752,0.812,0.6615
136,136,J0003-5604,1.34,0.04,0.04,0.802,0.03,0.03,,,,,,Gaia,,El-Badry,1.3,1.38,0.772,0.832,0.795
137,137,J1733+5808,1.362,0.03,0.03,1.16,0.05,0.05,,,,,,Gaia,,El-Badry,1.332,1.392,1.11,1.21,0.3093
138,138,J1150-2203,1.39,0.04,0.04,1.18,0.06,0.06,,,,,,Gaia,,El-Badry,1.35,1.43,1.12,1.24,0.552
139,139,J1449+6919,1.261,0.032,0.032,0.91,0.05,0.05,,,,,,Gaia,,El-Badry,1.229,1.293,0.86,0.96,0.2668
140,140,J0217-7541,1.396,0.033,0.033,0.996,0.033,0.033,,,,,,Gaia,,El-Badry,1.363,1.429,0.963,1.029,0.3228
141,141,J0639-3655,1.7,0.07,0.07,1.32,0.06,0.06,,,,,,Gaia,,El-Badry,1.63,1.77,1.26,1.38,0.721
142,142,J1739+4502,1.38,0.04,0.04,0.778,0.03,0.03,,,,,,Gaia,,El-Badry,1.34,1.42,0.748,0.808,0.6777
143,143,J0036-0932,1.362,0.034,0.034,0.94,0.04,0.04,,,,,,Gaia,,El-Badry,1.328,1.396,0.9,0.98,0.3993
144,144,J1432-1021,1.898,0.03,0.03,0.79,0.03,0.03,,,,,,Gaia,,El-Badry,1.868,1.928,0.76,0.82,0.1203
145,145,J1048+6547,1.68,0.07,0.07,1,0.05,0.05,,,,,,Gaia,,El-Badry,1.61,1.75,0.95,1.05,0.357
146,146,J2145+2837,1.4,0.04,0.04,0.95,0.05,0.05,,,,,,Gaia,,El-Badry,1.36,1.44,0.9,1,0.584
147,147,J2244-2236,1.443,0.023,0.023,1.002,0.03,0.03,,,,,,Gaia,,El-Badry,1.42,1.466,0.972,1.032,0.5666
148,148,J0824+5254,1.603,0.035,0.035,1.1,0.03,0.03,,,,,,Gaia,,El-Badry,1.568,1.638,1.07,1.13,0.686
149,149,J0230+5950,1.401,0.034,0.034,1.114,0.03,0.03,,,,,,Gaia,,El-Badry,1.367,1.435,1.084,1.144,0.753
150,150,J0634+6256,1.48,0.09,0.09,1.18,0.06,0.06,,,,,,Gaia,,El-Badry,1.39,1.57,1.12,1.24,0.564
151,,B1957+20,,,,,,,5.00E-06,,,69.2,0.8,BW,\citet{Kerkwijk2011},Alsing,,,,,
152,,J1740-5350,,,,,,,0.002644,,,5.85,0.13,NS-*,\citet{Ferraro2003},Alsing,,,,,
153,,B1855+09,1.37,0.13,0.13,,,,,,,,,NS-WD,\citet{Arzoumanian2017},Alsing,,,,,
154,,J1748-2021B,,,,,,,0.000226624,2.92,0.2,,,NS-WD,\citet{Freire2008},Alsing,,,,,
155,,B1802-07,,,,,,,0.00945034,1.62,0.07,,,NS-WD,\citet{Thorsett1999},Alsing,,,,,
156,,B2303+46,,,,,,,0.246261925,2.64,0.05,,,NS-WD,\citet{Thorsett1999},Alsing,,,,,
